"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,Y2,,A4010,,H6.1,,10.72,,MT,D10,
,Y2,,A4010,,H6.1,,71.0,,IE,D10,
,Y2,,A4010,,H6.1,,149.64,,AT,D10,
,Y2,,A4010,,H12,,18.58,"RO,HU,AT",BG,D10,
,Y2,,A4010,,H6.1,,18.46,"HR,SI,AT",BA,D10,
,Y2,,A4010,,H3,,32.46,"IT,AT",MT,D10,
,Y2,,A4010,,H3,,2.0,,IE,D10,
,Y2,,A4130,,H4.1,,142.011,NL,IE,D10,
,Y2,,A4130,,H6.1,,39.36,AT,IT,D10,
,Y2,,A4130,,H11,,12.297,NL,IE,D10,
,Y2,,A4130,,H4.1,,694.11,AT,IT,D10,
,Y2,,A4130,,H12,,15.908,,IE,D10,
,Y2,,A4140,,H12,,5.0,,NL,D10,
,Y2,,A4140,,H3,,17.85,NL,IE,D10,
,Y2,,A4140,,H4.1,,6.9,NL,IE,D10,
,Y2,,A4140,,H6.1,,9.42,"FR,LU",ES,,R3
,Y2,,A4140,,H3,,31.094,"RO,HU,AT",BG,D10,
,Y2,,A4140,,H3,,19.78,"SI,AT",HR,D10,
,Y2,,A4140,,H6.1,,113.638,NL,IE,D10,
,Y2,,A4160,,H6.1,,41.16,"FR,BE",ES,,R7
,Y3,,A4010,,H12,,21.414,NL,IE,D10,
,Y3,,A4010,,H6.1,,34.14,,BG,D10,
,Y3,,A4010,,H12,,7.28,"RO,HU,AT",BG,D10,
,Y3,,A4010,,H6.1,,123.22,,BG,D10,
,Y3,,A4020,,H6.1,,2.7,"ES,GB,BE",MT,D10,
,Y3,,A4020,,H6.1,,105.69,NL,GB,,R1
,Y3,,A4020,,H6.1,,21.12,NL,IE,D10,
,Y3,,A4020,,H6.1,,150.32,"FR,NL",PT,D10,
,Y3,,A4020,,H6.1,,105.0,"ES,FR",PT,D10,
,Y3,,A4020,,H6.1,,68.1,FR,ES,D10,
,Y3,,A4020,,H6.1,,1.54,"SI,AT",HR,D10,
,Y3,,A4020,,H6.1,,34.8,"FR,BE",ES,D10,
,Y3,,A4140,,H6.1,,41.86,"TR,GB",GR,D15,
,Y3,,A4140,,H3,,9.921,"RO,HU,AT",BG,D10,
,Y3,,A4140,,H6.1,,1.541,,GE,D10,
,Y4,,A2030,,H6.1,,45.0,,IE,,R4
,Y4,,A4030,,H6.1,,0.095,,IE,D10,
,Y4,,A4030,,H6.1,,0.198,NL,IE,D10,
,Y4,,A4030,,H6.1,,850.097,PL,UA,D10,
,Y4,,A4030,,H6.1,,82.39,"SI,AT",HR,D10,
,Y4,,A4030,,H6.1,,57.448,BE,FR,,R4
,Y4,,A4030,,H11,,14.775,GB,GR,D10,
,Y4,,A4030,,H11,,2.318,"TR,GB",GR,D10,
,Y4,,A4030,,H11,,26.1,,FR,,R3
,Y4,,A4030,,H11,,26.26,,AT,,R3
,Y4,,A4030,,H12,,32.16,"TR,GB",GR,D9,
,Y4,,A4030,,H6.1,,662.4200000000001,,NL,D10,
,Y4,,A4030,,H6.1,,260.741,BE,IL,D10,
,Y4,,A4030,,H6.1,,142.3,,NL,,R5
,Y4,,A4030,,H6.1,,69.46,,NL,D12,
,Y4,,A4030,,H6.1,,24.46,AT,IT,D10,
,Y4,,A4030,,H12,,131.62,,FR,,R3
,Y4,,A4030,,H6.1,,5.19,CH,IT,D10,
,Y4,,A4030,,H6.1,,42.67,CH,IT,D10,
,Y4,,A4030,,H6.1,,52.88,"CH,AT",IT,D10,
,Y4,,A4030,,H11,,46.501,,GR,D10,
,Y4,,A4030,,H6.1,,11.77,"FR,BE,NL",ES,D10,
,Y4,,A4030,,H6.1,,15.24,NL,IE,D10,
,Y4,,A4030,,H6.1,,45.36,,NZ,D10,
,Y4,,A4030,,H6.1,,14.79,"FR,BE",ES,D10,
,Y4,,A4030,,H6.1,,35.883,,SE,D10,
,Y4,,A4030,,H6.1,,15.12,,IE,D10,
,Y4,,A4030,,H6.1,,22.556,,GR,D10,
,Y4,,A4030,,H6.1,,20.264,,DK,D10,
,Y4,,A4030,,H6.1,,0.2,,CY,D10,
,Y4,,A4030,,H6.1,,24.448,,BE,D10,
,Y4,,A4030,,H6.1,,330.918,,NL,D10,
,Y4,,A4030,,H6.1,,4.12,"TR,GB",GR,D10,
,Y4,,A4130,,H6.1,,1.11,,NL,D10,
,Y4,,A4140,,H6.1,,4.0,,FR,D10,
,Y4,,A4140,,H6.1,,5.876,,IE,D10,
,Y6,,AC 070,,H12,,43.04,,NL,,R3
,Y6,,AC 070,,H12,,225.45,,CH,,R3
,Y6,,AC 080,,H12,,282.0,,SE,,R3
,Y6,,AC 080,,H12,,67.6,NL,BE,,R2
,Y6,,AC 080,,H12,,109.194,DK,NO,D10,
,Y6,,AC 080,,H12,,54.0,DK,SE,,R3
,Y6,,AC 080,,H12,,23.475,"TR,GB",GR,D10,
,Y6,,AC 080,,H12,,19.85,"BG,RO,HU,AT",GR,D10,
,Y6,,AC 080,,H12,,37.38,,NL,,R2
,Y6,,AC 080,,H12,,62.54,,LU,,R3
,Y6,,AC 080,,H12,,75.0,,DK,,R3
,Y6,,AC 080,,H12,,128.18,,CH,,R3
,Y6,,AC 080,,H12,,29.0,,BE,,R3
,Y6,,AC 080,,H12,,281.0,DK,SE,,R5
,Y6,,AC 080,,H12,,428.15000000000003,,NL,,R3
,Y6,,050103*,,H12,,684.86,AT,IT,,R1
,Y6,,050103*,,H12,,15.916,NL,IE,D10,
,Y6,,060802*,,H6.1,,56.88,NL,GB,,R1
,Y6,Aqueous washing liquids and mother liquors,070101*,,H12,,223.56,,NL,D10,
,Y6,Aqueous washing liquids and mother liquors,070101*,,H11,,66.58,AT,IT,D10,
,Y6,,070214*,,H6.1,,13.55,,LU,,R3
,Y6,,070701*,,H6.1,,809.76,,NL,D10,
,Y6,,070701*,,H8,,1377.52,,CH,D10,
,Y6,,070701*,,H12,,486.46000000000004,,NL,D10,
,Y6,,070710*,,H12,,173.6,,NL,,R4
,Y6,,190208*,,H12,,17.98,,NL,D10,
,Y6,,190208*,,H5.1,,782.44,,NL,D10,
,Y6,,A2030,,H12,,597.752,,AT,,R5
,Y6,,A2030,,H12,,27.976,,US,,R4
,Y6,,A2030,,H12,,40.336,AT,IT,,R4
,Y6,,A2030,,H4.2,,11.538,AT,IT,,R4
,Y6,,A2030,,H4.2,,2162.454,,NL,,R4
,Y6,,A2030,,H4.2,,108.48,,FI,,R8
,Y6,,A2030,,H12,,71.107,,CH,,R4
,Y6,,A2030,,H12,,11.647,,MX,,R4
,Y6,,A2030,,H4.2,,33.991,,GB,,R4
,Y6,,A2030,,H12,,84.0,,IE,,R4
,Y6,,A2030,,H12,,67.66,,CZ,,R4
,Y6,,A2030,,H12,,78.96,,NL,,R4
,Y6,,A2030,,H12,,2.5,,CH,,R12
,Y6,,A2030,,H3,,0.921,"GB,BE,FR",US,,R13
,Y6,,A3050,,H3,,173.0,,NL,,R3
,Y6,,A3140,,H8,,521.88,,CH,D10,
,Y6,,A3160,,H3,,157.55,,CH,,R3
,Y6,,A3160,,H6.1,,27.5,CH,IT,,R3
,Y6,,A3160,,H6.1,,91.0,,NL,D10,
,Y6,,A3160,,H6.1,,629.6790000000001,,GB,,R3
,Y6,,A3160,,H6.1,,20.615000000000002,,CH,D9,
,Y6,,A3160,,H6.1,,235.594,,CH,,R3
,Y6,,A3160,,H6.1,,1332.63,,CH,D10,
,Y6,,A3160,,H3,,97.14,CZ,AT,,R3
,Y6,,A3160,,H6.1,,166.0,,GB,,R3
,Y6,,A3160,,H6.1,,332.85,,CH,D10,
,Y6,,A3160,,H6.1,,604.24,,BE,,R5
,Y6,,A3160,,H4.1,,55.0,,NL,D9,
,Y6,,A3160,,H3,,1344.6599999999999,,AT,,R3
,Y6,,A3160,,H3,,19.0,,NL,D9,
,Y6,,A3160,,H3,,999.0,,GB,,R3
,Y6,,A3160,,H3,,271.74,,NL,,R1
,Y6,,A3160,,H12,,39.04,,NL,D10,
,Y6,,A3160,,H12,,192.22,,NL,,R1
,Y6,,A3160,,H3,,857.82,CH,IT,D10,
,Y6,,A3160,,H6.1,,192.62,,BE,D10,
,Y6,,A3160,,H6.1,,6684.1701,,NL,,R3
,Y6,,A3160,,H12,,21.359,,FR,,R1
,Y6,,A3160,,H6.1,,119.98,,AT,,R3
,Y6,,A3160,,H3,,5.6,,LU,D15,
,Y6,,A3160,,H6.1,,147.031,,CH,D10,
,Y6,,A3160,,H12,,57.22,,BE,,R1
,Y6,,A3160,,H12,,26.94,,CH,,R4
,Y6,,A3160,,H12,,110.53,,CH,D10,
,Y6,,A3160,,H12,,673.0,,FR,,R6
,Y6,,A3160,,H3,,289.555,DK,NO,D10,
,Y6,,A3160,,H4.2,,22.44,,CH,,R4
,Y6,,A3170,,H6.1,,99.2,,NL,,R5
,Y6,,A3170,,H3,,245.15,,NL,,R5
,Y6,,A3170,,H12,,231.403,,CH,D10,
,Y6,,A4010,,H6.1,,16.0,,GR,D10,
,Y6,,A4060,,H3,,128.88,,NL,D10,
,Y6,,A4060,,H6.1,,666.6,AT,IT,D10,
,Y6,,A4060,,H12,,826.24,,NL,D10,
,Y6,,A4060,,H12,,17.7,,AT,,R2
,Y6,,A4060,,H12,,903.32,,GB,,R1
,Y6,,A4060,,H12,,2568.73,,IT,D10,
,Y6,,A4060,,H12,,1.0,,AT,,R4
,Y6,,A4060,,H12,,25.46,AT,IT,D10,
,Y6,,A4060,,H12,,158.658,,DK,D10,
,Y6,,A4060,,H12,,1829.7,,NL,D10,
,Y6,,A4060,,H6.1,,282.84,,NL,D9,
,Y6,,A4060,,H8,,919.8,,NL,D10,
,Y6,Aerosol cans,A4070,,H3,,285.12,,BE,,R4
,Y6,Aerosol cans,A4070,,H3,,118.72,,FR,,R4
,Y6,Aerosol cans,A4070,,H3,,23.84,NL,IE,,R4
,Y6,,A4120,,H5.2,,0.086,,NL,D10,
,Y6,,A4120,,H5.1,,20.76,,SE,D12,
,Y6,Aerosol cans,A4130,,H3,,3.65,,LU,,R13
,Y6,,A4130,,H6.1,,10.12,,NL,D10,
,Y6,,A4130,,H6.1,,83.0,,NL,D9,
,Y6,Aerosol cans,A4130,,H3,,83.0,,BE,,R4
,Y6,Aerosol cans,A4130,,H4.1,,165.05,,BE,,R11
,Y6,Aerosol cans,A4130,,H3,,57.0,,DK,,R4
,Y6,,A4130,,H4.1,,169.72,,IT,,R_
,Y6,Aerosol cans,A4130,,H3,,851.4669999999999,,FR,,R4
,Y6,Aerosol cans,A4130,,H3,,147.0,,IE,,R4
,Y6,Aerosol cans,A4130,,H3,,40.0,NL,BE,,R4
,Y6,Aerosol cans,A4130,,H3,,132.0,,IT,D10,
,Y6,Aerosol cans,A4130,,H3,,91.906,,LU,,R4
,Y6,Aerosol cans,A4130,,H3,,267.0,,NL,,R12
,Y6,Aerosol cans,A4130,,H3,,4.548,,NL,,R_
,Y6,Aerosol cans,A4130,,H3,,118.786,,NL,,R4
,Y6,Aerosol cans,A4130,,H3,,79.16,,NL,D10,
,Y6,Aerosol cans,A4130,,H3,,26.3,AT,IT,,R_
,Y6,Aerosol cans,A4130,,H3,,43.54,"BE,LU",FR,,R4
,Y6,,A4130,,H4.3,,33.53,,LU,D13,
,Y6,Aerosol cans,A4130,,H3,,70.0,,IT,,R4
,Y6,,A4130,,H12,,49.333,NL,IE,,R_
,Y6,,A4130,,H4.1,,32.057,NL,IE,D10,
,Y6,,A4130,,H4.1,,5.284,,LU,D15,
,Y6,,A4130,,H12,,14.627,,IE,D10,
,Y6,,A4130,,H12,,93.54,,LU,,R1
,Y6,,A4130,,H12,,56.36,,LU,,R13
,Y6,,A4130,,H12,,12.14,,LU,,R_
,Y6,,A4130,,H12,,41.43,,NL,D10,
,Y6,,A4130,,H12,,12.0,,LU,,R3
,Y6,,A4130,,H12,,127.82,,NL,,R3
,Y6,,A4130,,H3,,69.65,,NL,,R4
,Y6,,A4130,,H3,,74.63,,IT,,R_
,Y6,,A4130,,H3,,10.675,,LU,,R_
,Y6,,A4130,,H4.1,,3.37,,BE,,R1
,Y6,,A4130,,H4.1,,102.49600000000001,,LU,D13,
,Y6,,A4130,,H4.1,,5.82,,NL,D10,
,Y6,,A4130,,H4.1,,46.0,,NL,D9,
,Y6,,A4130,,H4.1,,387.06,AT,IT,,R_
,Y6,,A4130,,H12,,75.7,,NL,,R_
,Y6,,A4130,,H3,,28.39,,NL,,R2
,Y6,Aerosol cans,A4130,,H3,,9.4,NL,IE,D10,
,Y6,Gases in pressure containers,A4130,,H3,,1.925,NL,IE,D10,
,Y6,Gases in pressure containers,A4130,,H3,,0.37,NL,BE,,R4
,Y6,Gases in pressure containers,A4130,,H3,,2.712,,LU,,R4
,Y6,Aerosol cans,A4130,,H3,,42.46,"BE,LU",FR,,R4
,Y6,Aerosol cans,A4130,,H3,,10.88,BE,FR,D10,
,Y6,Aerosol cans,A4130,,H3,,64.737,AT,IT,,R_
,Y6,Aerosol cans,A4130,,H3,,18.3,,NL,D10,
,Y6,,A4130,,H3,,11.0,NL,IE,D10,
,Y6,,A4140,,H12,,30.938,NL,IE,D10,
,Y6,,A4140,,H12,,197.0,,IE,,R_
,Y6,,A4140,,H12,,78.283,NL,IE,D10,
,Y6,,A4140,,H6.1,,56.12,,NL,D10,
,Y6,,A4140,,H6.1,,1.99,NL,IE,D10,
,Y6,,A4140,,H3,,26.48,"SI,AT",HR,D10,
,Y6,,A4140,,H6.1,,142.14,,FR,D10,
,Y6,,A4140,,H12,,9.3,FR,ES,,R5
,Y6,,A4140,,H4.1,,41.01,,NL,D10,
,Y6,,A4140,,H6.1,,3.699,,NL,D10,
,Y6,,A4140,,H3,,159.478,AT,IT,D10,
,Y6,,A4140,,H3,,1.224,,NL,,R1
,Y6,,A4140,,H3,,28.59,,NL,D10,
,Y6,,A4140,,H3,,2.8,NL,IE,D10,
,Y6,,A4140,,H3,,20.28,,CH,D10,
,Y6,,A4140,,H6.1,,27.546,,GR,D10,
,Y6,,A4140,,H6.1,,30.041,NL,IE,D10,
,Y6,,A4140,,H6.1,,46.397,,NO,D10,
,Y6,,A4140,,H11,,88.47,,FR,D10,
,Y6,,A4140,,H3,,516.271,,IE,D10,
,Y6,,A4140,,H3,,0.276,,LU,D13,
,Y6,,A4140,,H3,,3.08,,NL,D10,
,Y6,,A4140,,H3,,67.677,"BE,GB,IL",GR,D10,
,Y6,,A4140,,H3,,94.434,NL,IE,D10,
,Y6,,A4140,,H6.1,,2.0,,NL,D10,
,Y7,,AD 120,,H6.1,,1.281,,BE,,R4
,Y7,,A4050,,H6.1,,21.91,,LU,D10,
,Y7,,A4050,,H6.1,,24.0,,NL,D10,
,Y7,,A4050,,H6.1,,14.65,"FR,BE,NL",ES,D10,
,Y7,,A4050,,H6.1,,8.526,,DK,,R4
,Y7,,A4050,,H6.1,,4958.7801,,NL,,R1
,Y7,,A4050,,H6.1,,27.24,,BE,,R12
,Y7,,A4050,,H6.1,,23.262,,CH,,R4
,Y7,,A4050,,H6.1,,21.08,,NL,,R6
,Y7,,A4050,,H6.1,,2.048,,NL,,R4
,Y7,,A4050,,H6.1,,9.366,,FR,,"R4,R5"
,Y7,,A4050,,H6.1,,6.836,,FR,,R4
,Y7,,A4050,,H6.1,,2.565,,CH,,"R4,R5"
,Y7,,A4050,,H6.1,,57.08,,CH,,R5
,Y7,,A4050,,H6.1,,328.84000000000003,,FR,D12,
,Y7,,A4050,,H6.1,,50.120000000000005,,CH,D12,
,Y7,,A4050,,H6.1,,15.919999999999998,,AT,D12,
,Y7,,A4050,,H6.1,,11.2,"IT,ES,BE,GB",AL,D12,
,Y7,,A4140,,H6.1,,17.94,,NL,D14,
,Y7,,A4140,,H8,,9.13,"RO,HU,AT",BG,D10,
,Y8,,A3020,,H12,,98.26,"HU,AT",CS,D10,
,Y8,,A3020,,H6.1,,192.02,"LT,PL",LV,,R9
,Y8,,A3020,,H6.1,,3829.1499999999996,DK,SE,,R9
,Y8,,A3020,,H6.1,,92.0,NL,IE,,R_
,Y8,,A3020,,H6.1,,22984.250000000004,NL,BE,,R9
,Y8,,A3020,,H6.1,,10019.12,"FR,BE,NL",GB,,R9
,Y8,,A3020,,H6.1,,14753.05,,SE,,R9
,Y8,,A3020,,H6.1,,1666.7099999999998,,NL,,R9
,Y8,,A3020,,H6.1,,1122.0,,LU,,R9
,Y8,,A3020,,H6.1,,774.0,,GB,,R9
,Y8,,A3020,,H6.1,,18773.260000000002,,FR,,R9
,Y8,,A3020,,H6.1,,3678.0,,FI,,R9
,Y8,,A3020,,H6.1,,186.0,,EE,,R9
,Y8,,A3020,,H6.1,,9658.0,,DK,,R9
,Y8,,A3020,,H6.1,,19111.05,,AT,,R9
,Y8,,A3020,,H6.1,,1229.19,,CZ,,R9
,Y8,,A3020,,H6.1,,2398.618,NL,BE,,R13
,Y8,,A3020,,H6.1,,7687.73,,CH,,R9
,Y8,,A3020,,H6.1,,9105.3482,,BE,,R9
,Y8,,A3020,,H6.1,,3598.0,,GB,,R13
,Y8,,A3020,,H6.1,,257.0,,NL,,R9
,Y8,,A3020,,H6.1,,12250.9,,PL,,R9
,Y8,,A3020,,H6.1,,923.37,,LU,,R9
,Y8,,A3020,,H6.1,,1262.48,,CZ,,R9
,Y8,,A3020,,H6.1,,437.812,,CH,,R9
,Y8,,A3020,,H6.1,,100.63999999999999,,FI,,R9
,Y8,,A3020,,H6.1,,220.09,,LU,,R9
,Y8,,A3020,,H6.1,,72.55,,NL,,R9
,Y8,,A3020,,H6.1,,1157.4050000000002,DK,SE,,R9
,Y8,,A3020,,H6.1,,553.2,,AT,,R9
,Y8,,A3020,,H6.1,,124.34,,AT,,R9
,Y8,,A3020,,H6.1,,1.68,,NL,,R9
,Y8,,A3020,,H6.1,,0.28,,NL,,R9
,Y8,,A3020,,H6.1,,1119.0,,NL,,R12
,Y8,,A3020,,H6.1,,16.0,,TR,D10,
,Y8,,A3020,,H6.1,,2013.3600000000001,,NL,D10,
,Y8,,A3020,,H6.1,,1216.61,,NL,,R1
,Y8,,A3020,,H6.1,,3669.0,,DK,,R9
,Y8,,A3020,,H6.1,,16.92,,LU,,R9
,Y8,,A3020,,H6.1,,319.0,,NL,,R_
,Y8,,A3020,,H6.1,,20.0,NL,IE,,R_
,Y8,,A3020,,H6.1,,67.0,NL,IE,,R12
,Y8,,A3020,,H6.1,,5.54,,FR,,R9
,Y8,,A3020,,H6.1,,123.0,"FR,BE",GB,,R9
,Y8,,A3020,,H6.1,,95.0,,IT,D9,
,Y8,,A3020,,H6.1,,2804.0,,DK,,R9
,Y8,,A3020,,H6.1,,25.0,AT,IT,D9,
,Y8,,A3020,,H12,,23.94,,NL,,R9
,Y8,,A3040,,H6.1,,213.06,,CH,,R1
,Y8,,A3040,,H6.1,,39.79,,NL,,R9
,Y8,,A3040,,H6.1,,512.2,,NL,,R9
,Y9,,AA 060,,H6.1,,284.16,AT,IT,,R4
,Y9,,AC 080,,H12,,77.0,DK,SE,,R5
,Y9,Oil-containing drilling muds,010505*,,H12,,1423.0,,NL,,R9
,Y9,,A3020,,H6.1,,15.02,,NL,,R1
,Y9,,A4060,,H12,,80.0,,GR,D10,
,Y9,,A4060,,H12,,671.6700000000001,,BE,D10,
,Y9,,A4060,,H12,,19.96,,NL,D10,
,Y9,,A4060,,H12,,6031.18,LU,FR,,R5
,Y9,,A4060,,H12,,4297.2699999999995,,LU,D1,
,Y9,,A4060,,H12,,2491.86,,LU,D13,
,Y9,,A4060,,H12,,490.1,,FR,,R3
,Y9,,A4060,,H12,,49.56,,FR,,R3
,Y9,,A4060,,H12,,1095.04,,NL,D9,
,Y9,,A4060,,H12,,1568.78,,CH,,R9
,Y9,,A4060,,H12,,174.06,,FR,,R1
,Y9,,A4060,,H12,,37.34,,FR,,R12
,Y9,,A4060,,H12,,2610.06,,FR,,R3
,Y9,,A4060,,H12,,66.1,,LU,D9,
,Y9,,A4060,,H12,,374.14,,NL,,R12
,Y9,,A4060,,H12,,506.27,,FR,,R3
,Y9,,A4060,,H12,,21.808,,IE,D10,
,Y9,,A4060,,H12,,339.24,,FR,,R9
,Y9,,A4060,,H12,,311.31,,NL,D10,
,Y9,,A4060,,H12,,215.8,AT,SI,D9,
,Y9,,A4060,,H12,,4456.69,,NL,,R5
,Y9,,A4060,,H12,,4342.04,,NL,,R12
,Y9,,A4060,,H12,,117.96,,LU,D9,
,Y9,,A4060,,H12,,822.97,,LU,,R9
,Y9,,A4060,,H12,,516.0,,GB,,R3
,Y9,,A4060,,H12,,257.0,,LU,D9,
,Y9,,A4060,,H12,,1551.0459999999998,,LU,,R9
,Y9,,A4060,,H12,,1087.5,,AT,,R5
,Y9,,A4060,,H12,,532.88,,LU,D9,
,Y9,,A4060,,H12,,842.46,,NL,,R5
,Y9,,A4060,,H12,,549.16,,NL,D9,
,Y9,,A4060,,H12,,475.5,,LU,,R9
,Y9,,A4060,,H12,,139.9,,LU,D9,
,Y9,,A4060,,H12,,5375.0,,NO,,R12
,Y9,,A4060,,H12,,45.16,,NL,D9,
,Y9,,A4060,,H6.1,,41.66,,DK,D10,
,Y9,,A4060,,H12,,110.3,,LU,D9,
,Y9,,A4060,,H12,,267.11,,FR,,R3
,Y9,,A4060,,H12,,22.97,"IL,GB,BE",GR,D10,
,Y9,,A4060,,H12,,333.34,,LU,,R3
,Y10,,A1180,,H11,,14.64,,GR,D10,
,Y10,,A1190,,H11,,324.42,,AT,,R12
,Y10,,A1190,,H11,,496.02,,AT,,R4
,Y10,,A1190,,H11,,721.38,,CH,,R4
,Y10,,A3180,,H11,,31.84,,LU,D9,
,Y10,,A3180,,H12,,17.88,,LU,D9,
,Y10,,A3180,,H6.1,,22.94,,NL,D10,
,Y10,,A3180,,H11,,1060.12,BE,FR,D10,
,Y10,,A3180,,H11,,48.05,"FR,BE,NL",ES,D10,
,Y10,,A3180,,H11,,62.84,"HU,AT",RO,D10,
,Y10,,A3180,,H11,,117.74,FR,ES,D10,
,Y10,,A3180,,H11,,6.94,,SE,D10,
,Y10,,A3180,,H11,,402.98,,NL,D10,
,Y10,,A3180,,H11,,0.15,,LU,D13,
,Y10,,A3180,,H11,,50.19,"FR,BE,,NL",ES,D10,
,Y10,,A3180,,H11,,5.63,AT,IT,D10,
,Y10,,A3180,,H11,,4.17,,NL,D10,
,Y10,,A3180,,H6.1,,19.88,,CH,,R4
,Y10,,A3180,,H11,,21.781,PL,BY,D10,
,Y10,,A3180,,H11,,20.96,"HU,AT",RO,D10,
,Y10,,A3180,,H11,,19.8,"FR,BE,NL",ES,D10,
,Y10,,A3180,,H11,,242.0,"FR,BE",ES,D10,
,Y10,,A3180,,H11,,33.816,,SE,D10,
,Y10,,A3180,,H11,,173.416,,LU,,R4
,Y10,,A3180,,H11,,184.9,,DK,,"R4,R5"
,Y10,,A3180,,H11,,7.83,,AT,,R4
,Y10,,A3180,,H11,,149.49,BE,FR,D10,
,Y10,,A3180,,H11,,210.849,,FR,D14,
,Y10,,A3180,,H11,,4.78,,NL,D10,
,Y10,,A3180,,H11,,9.0,"FR,BE,,NL",ES,D10,
,Y10,,A3180,,H11,,7.92,,NL,D10,
,Y10,,A3180,,H11,,105.88,,ES,D12,
,Y10,,A3180,,H11,,40.8,,FR,D10,
,Y10,,A3180,,H11,,1026.32,,FR,D12,
,Y10,,A3180,,H11,,177.83,,NL,D10,
,Y10,,A3180,,H11,,2.392,,SE,D10,
,Y11,,061303,,H6.1,,74.97,,IT,,R1
,Y11,,A1190,,H6.1,,692.49,,CH,,R4
,Y11,,A1190,,H11,,92.88,,AT,,R4
,Y11,,A1190,,H11,,740.5799999999999,,CH,,R4
,Y11,,A2030,,H4.2,,128.23,AT,IT,,R4
,Y11,,A3010,,H6.1,,7645.749,,IT,,R4
,Y11,,A3010,,H6.1,,522.108,,BE,D10,
,Y11,,A3190,,H6.1,,23.283,,IE,D10,
,Y11,,A3190,,H6.1,,19.46,,LU,,R12
,Y11,,A3190,,H3,,776.186,,NL,D10,
,Y11,,A3190,,H11,,197.22,,LU,,R5
,Y11,,A3190,,H6.1,,382.74,,LU,,R13
,Y11,,A3200,,H6.1,,99.07,CH,IT,,R5
,Y11,,A3200,,H6.1,,8848.740000000002,,LU,D1,
,Y11,,A3200,,H11,,14614.5,,LU,D1,
,Y11,,A3200,,,,1238.6,,LU,D1,
,Y12,,080501*,,H6.1,,3.231,,DK,D10,
,Y12,,080501*,,H6.1,,13.0,,NL,D9,
,Y12,,A1050,,H12,,51.01,,CH,,R4
,Y12,,A4070,,H3,,359.22,"SI,AT",HR,D10,
,Y12,,A4070,,H4.1,,23.13,AT,IT,D9,
,Y12,,A4070,,H4.1,,96.029,AT,IT,D10,
,Y12,,A4070,,H4.1,,309.4,AT,IT,,R3
,Y12,,A4070,,H4.1,,75.0,,PL,,R2
,Y12,,A4070,,H4.1,,994.0,,NL,D9,
,Y12,,A4070,,H4.1,,751.34,,NL,D13,
,Y12,,A4070,,H4.1,,191.3,AT,SI,D10,
,Y12,,A4070,,H4.1,,794.66,,NL,,R12
,Y12,,A4070,,H4.1,,76.56,CH,IT,D10,
,Y12,,A4070,,H4.1,,2.667,,LU,,R4
,Y12,,A4070,,H4.1,,0.6839,,LU,,R_
,Y12,,A4070,,H4.1,,858.579,,NL,D10,
,Y12,,A4070,,H4.1,,220.06,BE,IL,D10,
,Y12,,A4070,,H4.1,,37.08,,LU,,R13
,Y12,,A4070,,H4.1,,312.46,BE,NL,D13,
,Y12,,A4070,,H4.1,,29.04,,LU,D13,
,Y12,,A4070,,H4.1,,370.0,NL,BE,,R12
,Y12,,A4070,,H4.1,,38.513,NL,BE,,R2
,Y12,,A4070,,H4.1,,52.86,NL,BE,,R_
,Y12,,A4070,,H4.1,,120.0,NL,IE,,R_
,Y12,,A4070,,H4.1,,6.5,NL,IE,D10,
,Y12,,A4070,,H4.1,,7.82,"TR,GB",GR,,R12
,Y12,,A4070,,H4.1,,303.0,,NL,,R_
,Y12,,A4070,,H6.1,,156.0,,BE,,R2
,Y12,,A4070,,H6.1,,272.0,,CH,,R2
,Y12,,A4070,,H4.1,,14.56,BE,NL,,R4
,Y12,,A4070,,H3,,69.96,,IL,,R_
,Y12,,A4070,,H12,,101.1,AT,IT,D10,
,Y12,,A4070,,H12,,49.76,AT,SI,D10,
,Y12,,A4070,,H3,,61.5,,AT,D10,
,Y12,,A4070,,H3,,37.64,,BE,,R1
,Y12,,A4070,,H3,,40.0,,BE,,R2
,Y12,,A4070,,H4.1,,2207.51,,NL,,R_
,Y12,,A4070,,H3,,455.56,,CH,,R12
,Y12,,A4070,,H4.1,,66.24,,LU,,R1
,Y12,,A4070,,H3,,17.151,,LU,D15,
,Y12,,A4070,,H3,,219.72,,NL,,R_
,Y12,,A4070,,H3,,106.63,"AT,CH",IT,D10,
,Y12,,A4070,,H3,,18.2,"BA,HR,SI",AT,D10,
,Y12,,A4070,,H3,,25.0,CH,IT,D9,
,Y12,,A4070,,H4.1,,0.924,,IE,D10,
,Y12,,A4070,,H3,,23.993,NL,IE,D10,
,Y12,,A4070,,H3,,208.26,"SI,AT",HR,D10,
,Y12,,A4070,,H3,,108.2801,"TR,GB",GR,,R12
,Y12,,A4070,,H3,,133.92,,IE,,R_
,Y12,,A4070,,H3,,261.62,,IT,,R_
,Y12,,A4070,,H3,,106.18,,NL,,R_
,Y12,,A4070,,H4.1,,38.58,,AT,D10,
,Y12,,A4070,,H4.1,,284.0,,BE,,R12
,Y12,,A4070,,H4.1,,133.97,,CH,,R1
,Y12,,A4070,,H4.1,,96.0,,CH,,R2
,Y12,,A4070,,H4.1,,879.387,,CH,D10,
